file,non_null_fields,keys
data/oem_specs/chevrolet/2026_Captiva_Manual_de_Propietario.pdf,16,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/25-CHEV-Groove-Manual-de-propietario-v1.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_torque_nm;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/25-chev-aveo-om-manual-de-propietario.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Captiva-2026.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Groove-2025-TLD.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Onix-2025-TLD.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Onix-2026.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Suburban-2025-TLD.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Accesorios-Tahoe-2025-TLD.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/Catalogo-Aveo-HB-2025-BE.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_baul_l;conf_asientos_calefaccion;conf_asientos_ventilacion;eff_consumo_l_100km;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
