make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,has_year,has_cat_year,conflict,ambiguous_source
MAZDA,MAZDA3,HATCHBACK S TA BOLSAS DE AIRE,2025,gasolina,186.0,,,AWD,AUTOMÁTICA,6.0,,,,,,,,,,1.0,1,0,,,,,,,,10.0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda3-hatchback-2025-v01.pdf,file:ano,2007,True,True,True,False
MAZDA,MAZDA3,SEDAN S TA BOLSAS DE AIRE,2025,gasolina,186.0,,,AWD,MANUAL,6.0,,,,,,,,,,1.0,1,0,,,,,,,,10.0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda3-sedan-2025-v01.pdf,file:ano,2007,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,12.3,0,0,0,1,1,0,0,1,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,118.0,,,,,,,,,,,,,,5.0,,1,0,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks-play-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,,2.0,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks_e_power-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,SENTRA,ELITE PIEL CVT,2025,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-sentra-catalogo.pdf,file:ano,2011,True,True,True,False
NISSAN,URVAN,PANEL 4 PTAS DV LARGA VENT TOLDO ALT T/M,2025,gasolina,,,,,MANUAL,5.0,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-urvan_panel-catalogo.pdf,file:ano,2012,True,True,True,False
NISSAN,V-DRIVE,V-DRIVE TM A/C AUDIO 24,2025,HR16DE,,,,,,5.0,,,,,,460.0,,,,,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-v_drive-catalogo.pdf,file:ano,2024,True,True,True,False
NISSAN,VERSA,VERSA GO ASIENTO GIRATORIO ADVANCE TA '1,2025,eléctrico,,,,,,,,,,,,482.0,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-versa-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,X-TRAIL,EXCLUSIVE E-POWER 2 ROW 23,2025,eléctrico,,2.0,,,,,,,,,,,,,,,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-x_trail_e_power-catalogo.pdf,file:ano,2023,True,True,True,False
