make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source
GMC,ACADIA,ALL TERRAIN A,2024,gasolina,326.0,,,4X4,AUTOMÁTICA,8,,,,,,,,,,,0,0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/nueva-gmc-acadia-2024-catalogo-escritorio.pdf,file:ano
HONDA,ACCORD,EX L CVT L4,2025,gasolina,,,,,CVT,,,,,,,,,,5,,1,0,,,,,,,,10.2,1,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_ACCORD_Petrol_2025.pdf,file:ano
HONDA,BR-V,TOURING,2025,gasolina,,,,,CVT,,,,,,,,,,7,2,1,0,,,,,,,,,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_BRV_2025.pdf,file:ano
HONDA,CITY,PRIME CVT,2026,gasolina,,,,,CVT,,,,,,136,519,,,5,2,1,0,,,,,,,,,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_CITY_2026.pdf,file:ano
HONDA,CIVIC,EX CVT,2026,gasolina,,,,,CVT,,,,,,,,,,5,8,1,0,,,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_CIVIC_2026.pdf,file:ano
HONDA,CR-V,EX MANOS LIBRES,2026,gasolina,6.0,,,,CVT,,,,,,,,,,5,,1,0,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_CRV_2026.pdf,file:ano
HONDA,HR-V,UNIC CVT,2026,gasolina,,,,,CVT,,,,,,,,,,5,,1,0,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_HRV_2026.pdf,file:ano
HONDA,ODYSSEY,BLACK EDITION,2025,gasolina,,,,,AUTOMÁTICA,10,,,,,,,,,8,,1,0,,,,,,,,12.8,1,1,0,1,0,1,1,0,1,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_ODYSSEY_2025.pdf,file:ano
HONDA,PILOT,BLACK EDITION,2025,gasolina,,,,,AUTOMÁTICA,10,,,,,,,,,8,,1,0,,,,,,,,10.2,1,1,0,1,1,0,0,0,1,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/honda/Brochure_PILOT_2025.pdf,file:ano
HYUNDAI,CRETA,GLS IVT,2021,gasolina,113.0,,,,MANUAL,,,,,,,,,,5,,1,0,,,,,,,,10.25,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/FichaTecnica_Creta2026.pdf,text:ano
FICHATECNICA,GrandFacelift2026,UNSPEC,2013,gasolina,157.0,,,,AUTOMÁTICA,6,,,,,,,,,7,,1,1,,,,,,,,10.25,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/FichaTecnica_GrandFacelift2026.pdf,text:ano
HYUNDAI,HB20,1.6 GL MID AUTO,2026,gasolina,83.0,,,,MANUAL,,,,,,,,,,5,,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Ficha_Tecnica_Gi10HB_2026.pdf,file:ano
FICHA,Tecnica,Gi10SD,2026,gasolina,83.0,,,,MANUAL,,,,,,,,,,5,,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Ficha_Tecnica_Gi10SD_2026.pdf,file:ano
HYUNDAI,PALISADE,LIMITED TECH,2013,gasolina,291.0,,,,AUTOMÁTICA,8,,,,,,,,,7,,1,0,,,,,,,,12.3,1,1,1,1,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Ficha_Tecnica_Palisade.pdf,text:ano
HYUNDAI,ELANTRA,GLS PREMIUM DCT HEV,2021,híbrido,105.0,2.0,,,DCT,6,,,,,,,,,5,,1,1,,,,,,,,10.25,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Fichatecnica_elantrahibrido2026.pdf,text:ano
