MAKE,Model,Version,Año,Header Description,Body Style,Transmission,Número de Puertas,Cab Type,Driven Wheels,MSRP,Photo Path,VehicleID,Asientos delanteros con ventilación (conductor / pasajero),Tipo de Hybrid,Pantalla táctil,Integración móvil para Apple CarPlay,Rieles de techo,Quemacocos delantero,Seguros eléctricos en las puertas,Ventanas eléctricas (adelante / atrás),Volante eléctrico ajustable,Asistente de estacionamiento frontal,Plug-in,Aire acondicionado,Precio de transacción,Preparación para remolque,Apertura remota del maletero/puerta posterior,Ruedas traseras,Bolsas de aire laterales tipo cortina (adelante / de adelante h,Capacidad de asientos,Zonas con control del clima,Enchufe de carga,Enchufe de 12V (adelante / atrás / zona de carga),Asientos delanteros con calefacción (conductor / pasajero),Techo corredizo delantero,Control de estabilidad,Cámara de punto ciego,Caballos de fuerza,Bolsas de aire delanteras (conductor / pasajero),Sistema de alerta de colisión,Limpiaparabrisas con sensores de lluvia,Bocinas,Llave inteligente,ABS,Tracción,Asistente de estacionamiento trasero,"Tapizado adicional de asiento ",Combinado (km/l),Control eléctrico de tracción,Integración móvil para Android Auto,Bolsas de aire para las rodillas (conductor / pasajero),Tipo,Faros delanteros,Ruedas delanteras,Cierre automático del maletero/puerta posterior,Control de frenado en curvas,Modo de manejo de dirección,Motor,Bolsas de aire antisumergimiento (atrás / tercera fila),Cámara con vista envolvente,Luces antiniebla delanteras,Tercera fila de asientos,Bolsas de aire laterales (adelante / atrás / tercera fila),"Cámara de punto ciego ",Sensor de advertencia del punto ciego,Control automático de la velocidad,Longitud (mm),Tipo de combustible,Enganche de remolque
Peugeot,Partner,Maxi Pack PureTech Man,2025,Peugeot Partner Maxi Pack PureTech Man,Auto Van,Manual,4,Regular,FWD,453400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,845405020241203,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,428400.00,No disponible,No Disponible,"16"" Acero",null,3,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,No Disponible / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner,FL Maxi PureTech Man 4 Airbags FL,2025,Peugeot Partner FL Maxi PureTech Man 4 Airbags FL,Auto Van,Manual,4,Regular,FWD,427900.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,825133920250201,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,398900.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner,Man 4 Airbags Diesel,2025,Peugeot Partner Man 4 Airbags Diesel,Auto Van,Manual,4,Regular,FWD,419400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,840648520241203,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,419400.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,20.8,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4403,Diesel,No Disponible
Peugeot,Partner,Maxi Man 4 Airbags Diesel,2025,Peugeot Partner Maxi Man 4 Airbags Diesel,Auto Van,Manual,4,Regular,FWD,434400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,840648620250603,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,419400.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,20.0,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Partner,Maxi PureTech Man 4 Airbags,2025,Peugeot Partner Maxi PureTech Man 4 Airbags,Auto Van,Manual,4,Regular,FWD,424400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,840648720250113,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,398900.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner,Maxi Pack PureTech Man 4 Airbags,2025,Peugeot Partner Maxi Pack PureTech Man 4 Airbags,Auto Van,Manual,4,Regular,FWD,458900.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,840648820250501,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,433900.00,No disponible,No Disponible,"16"" Acero",null,3,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner,Maxi Man Diesel,2025,Peugeot Partner Maxi Man Diesel,Auto Van,Manual,4,Regular,FWD,432400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,844270020241203,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,432400.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,20.0,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,No Disponible / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Partner,Maxi PureTech Man,2025,Peugeot Partner Maxi PureTech Man,Auto Van,Manual,4,Regular,FWD,422400.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,844270120241203,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,397400.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,No Disponible / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner,FL Maxi Pack Man 4 Airbags FL,2025,Peugeot Partner FL Maxi Pack Man 4 Airbags FL,Auto Van,Manual,4,Regular,FWD,467900.0,/SSCMEX/PEUGEOT/PARTNER/2025/4CV.JPG,844270220250201,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,null,No disponible,No disponible,null,No disponible,No disponible,No disponible,No disponible,null,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible
Peugeot,Partner,FL Maxi Pack Man 4 Airbags FL,2026,Peugeot Partner FL Maxi Pack Man 4 Airbags FL,Auto Van,Manual,4,Regular,FWD,473900.0,/SSCMEX/PEUGEOT/PARTNER/2026/4CV.JPG,844270220250501,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,473900.00,No disponible,No Disponible,"16"" Acero",null,3,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,20.0,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Partner,FL Maxi Man 4 Airbags FL diesel,2026,Peugeot Partner FL Maxi Man 4 Airbags FL diesel,Auto Van,Manual,4,Regular,FWD,443900.0,/SSCMEX/PEUGEOT/PARTNER/2026/4CV.JPG,710019820250501,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,443900.00,No disponible,No Disponible,"16"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,20.0,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Partner,FL Maxi Pack Man,2026,Peugeot Partner FL Maxi Pack Man,Auto Van,Manual,4,Regular,FWD,464900.0,/SSCMEX/PEUGEOT/PARTNER/2026/4CV.JPG,825133820250501,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,464900.00,No disponible,No Disponible,"16"" Acero",null,3,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,110,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.4,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Partner Rapid,1.4,2024,Peugeot Partner Rapid 1.4,Auto Van,Manual,3,No disponible,FWD,329400.0,/SSCMEX/PEUGEOT/PARTNER RAPID/2024/3CV.JPG,778860220241203,No Disponible / No Disponible,No disponible,No Disponible,No Disponible,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,299400.00,No disponible,No Disponible,"14"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar , ESC",null,83,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,16.1,No disponible,No Disponible,No Disponible / No Disponible,Manual,"Halógeno ","14"" Acero","No Disponible ",No Disponible,No disponible,1.4L EVO En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,No Disponible / No Disponible / No Disponible,No Disponible,No Disponible,"No Disponible ",4407,Gasolina,No Disponible
Peugeot,Partner Rapid,1.4,2025,Peugeot Partner Rapid 1.4,Auto Van,Manual,3,No disponible,FWD,332400.0,/SSCMEX/PEUGEOT/PARTNER RAPID/2025/3CV.JPG,778860220250401,No Disponible / No Disponible,No disponible,No Disponible,No Disponible,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,298900.00,No disponible,No Disponible,"14"" Acero",null,2,No disponible,null,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,"Estándar ",null,83,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,16.1,No disponible,No Disponible,No Disponible / No Disponible,Manual,"Halógeno ","14"" Acero","No Disponible ",No Disponible,No disponible,1.4L En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,No Disponible,No Disponible / No Disponible / No Disponible,No Disponible,No Disponible,"No Disponible ",4407,Gasolina,No Disponible
Peugeot,Rifter,GT PureTech Aut,2025,Peugeot Rifter GT PureTech Aut,Mini-van,Automático,5,No disponible,FWD,591900.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,825134020250113,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,591900.00,No disponible,No Disponible,"17"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,130,Estándar / Estándar,"No Disponible ",No disponible,No disponible,Estándar,Estándar,delantera,"Visualización De Guía, Estándar ",Opcional Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Halógeno ","17"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Rifter,GT 5p 1.2 PureTech 130hp Aut 8Vel 7PL,2024,Peugeot Rifter GT 5p 1.2 PureTech 130hp Aut 8Vel 7PL,Mini-van,Automático,5,No disponible,FWD,572900.0,/SSCMEX/PEUGEOT/RIFTER/2024/5FW.JPG,825134020240112,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,572900.00,No disponible,Estándar,"17"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar , ESC (Electronic Stability Control)",null,130,Estándar / Estándar,"No Disponible ",No disponible,No disponible,Estándar,Estándar,delantera,"Visualización De Guía, Estándar ",Opcional Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Halógeno ","17"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Rifter,Active 5P 1.6HDI 90hp Man 5 Vel SB,2024,Peugeot Rifter Active 5P 1.6HDI 90hp Man 5 Vel SB,Mini-van,Manual,5,No disponible,FWD,446900.0,/SSCMEX/PEUGEOT/RIFTER/2024/5FW.JPG,807814120240112,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,446900.00,No disponible,Estándar,"16"" Acero",null,5,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar , ESC (Electronic Stability Control)",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Rifter,Allure Pack 5p 1.2 PureTech 130hp Aut 8V,2024,Peugeot Rifter Allure Pack 5p 1.2 PureTech 130hp Aut 8V,Mini-van,Automático,5,No disponible,FWD,537900.0,/SSCMEX/PEUGEOT/RIFTER/2024/5FW.JPG,825398520240112,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,537900.00,No disponible,Estándar,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar , ESC (Electronic Stability Control)",null,130,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Halógeno ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Rifter,Allure Pack 5p 1.6HDI 90hp Man 5Vel 7PL,2024,Peugeot Rifter Allure Pack 5p 1.6HDI 90hp Man 5Vel 7PL,Mini-van,Manual,5,No disponible,FWD,504900.0,/SSCMEX/PEUGEOT/RIFTER/2024/5FW.JPG,827152520240112,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,504900.00,No disponible,Estándar,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar , ESC (Electronic Stability Control)",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Rifter,FL Allure Pack Man,2025,Peugeot Rifter FL Allure Pack Man,Mini-van,Manual,5,No disponible,FWD,453400.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,827152520250113,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,453400.00,No disponible,No Disponible,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Rifter,FL Allure Pack PureTech Aut,2025,Peugeot Rifter FL Allure Pack PureTech Aut,Mini-van,Automático,5,No disponible,FWD,483400.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,825398520250113,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,483400.00,No disponible,No Disponible,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,130,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Halógeno ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Rifter,FL Active Man,2025,Peugeot Rifter FL Active Man,Mini-van,Manual,5,No disponible,FWD,421400.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,807814120250113,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,421400.00,No disponible,No Disponible,"16"" Acero",null,5,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Rifter,Allure Pack PureTech Aut,2025,Peugeot Rifter Allure Pack PureTech Aut,Mini-van,Automático,5,No disponible,FWD,483400.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,845405320250603,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,483400.00,No disponible,No Disponible,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,130,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Halógeno ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Gasolina Premium,No Disponible
Peugeot,Rifter,Active Man,2025,Peugeot Rifter Active Man,Mini-van,Manual,5,No disponible,FWD,409400.0,/SSCMEX/PEUGEOT/RIFTER/2025/5FW.JPG,845405420241203,No Disponible / No Disponible,No disponible,No Disponible,Estándar,No Disponible,No Disponible,Estándar,Estándar / No Disponible,Estándar,"No Disponible ",No Disponible,Estándar,409400.00,No disponible,No Disponible,"16"" Acero",null,5,No disponible,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"No Disponible ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Halógeno ","16"" Acero","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4753,Diesel,No Disponible
Peugeot,Rifter,FL Allure Pack PureTech Aut,2026,Peugeot Rifter FL Allure Pack PureTech Aut,Mini-van,Automático,5,No disponible,FWD,493900.0,/SSCMEX/PEUGEOT/RIFTER/2026/5FW.JPG,825398520250603,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,493900.00,No disponible,No Disponible,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,130,Estándar / Estándar,"Estándar ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.2L En Línea3,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4755,Gasolina Premium,No Disponible
Peugeot,Rifter,FL Allure Pack Man,2026,Peugeot Rifter FL Allure Pack Man,Mini-van,Manual,5,No disponible,FWD,463900.0,/SSCMEX/PEUGEOT/RIFTER/2026/5FW.JPG,827152520250603,No Disponible / No Disponible,No disponible,Estándar,Estándar,Estándar,No Disponible,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,463900.00,No disponible,No Disponible,"16"" Aluminio",null,7,Dos,null,Estándar / No Disponible / Estándar,No Disponible / No Disponible,No disponible,"Estándar ",null,90,Estándar / Estándar,"Estándar ",No disponible,No disponible,No Disponible,Estándar,delantera,"No Disponible ",Opcional Tela,19.6,No disponible,Estándar,No Disponible / No Disponible,Manual,"Led ","16"" Aluminio","No Disponible ",No Disponible,No disponible,1.6L En Línea4,No Disponible / No Disponible,"No Disponible ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,"Estándar ",4755,Diesel,No Disponible
