file_path,file_name,make,model,version,ano,ano_source,text_len,pages_scanned,has_tables,ts_processed
data/oem_specs/chevrolet/catalogo-accesorios-blazer-2025-tld.pdf,catalogo-accesorios-blazer-2025-tld.pdf,CHEVROLET,BLAZER,RS C,2025,file:ano,1531,6,0,2025-09-06T03:07:17.416840
data/oem_specs/chevrolet/catalogo-accesorios-captiva-black-edition-2025.pdf,catalogo-accesorios-captiva-black-edition-2025.pdf,CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,file:ano,1208,6,0,2025-09-06T03:07:18.579265
data/oem_specs/chevrolet/catalogo-accesorios-tracker-2025-tld.pdf,catalogo-accesorios-tracker-2025-tld.pdf,CHEVROLET,TRACKER,RS R,2025,file:ano,1099,6,0,2025-09-06T03:07:19.666187
data/oem_specs/chevrolet/catalogo-aveo-sedan-2025-v2.pdf,catalogo-aveo-sedan-2025-v2.pdf,CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,file:ano,5127,6,0,2025-09-06T03:07:20.832124
data/oem_specs/chevrolet/catalogo-blazer-2025-tld.pdf,catalogo-blazer-2025-tld.pdf,CHEVROLET,BLAZER,RS BITONO F,2025,file:ano,5281,6,0,2025-09-06T03:07:22.018608
data/oem_specs/chevrolet/catalogo-captiva-black-edition-2025.pdf,catalogo-captiva-black-edition-2025.pdf,CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,file:ano,4921,6,0,2025-09-06T03:07:23.329193
data/oem_specs/chevrolet/catalogo-groove-2026.pdf,catalogo-groove-2026.pdf,CHEVROLET,GROOVE,LT MANUAL D,2026,file:ano,4423,6,0,2025-09-06T03:07:24.544267
data/oem_specs/chevrolet/catalogo-suburban-2025.pdf,catalogo-suburban-2025.pdf,CHEVROLET,SUBURBAN,LT C,2025,file:ano,7122,6,0,2025-09-06T03:07:26.205602
data/oem_specs/chevrolet/ficha-tecnica-blazer-2025-tld.pdf,ficha-tecnica-blazer-2025-tld.pdf,CHEVROLET,BLAZER,RS BITONO F,2025,file:ano,3643,6,1,2025-09-06T03:07:27.316949
data/oem_specs/chevrolet/ficha-tecnica-captiva-black-edition-2025-v2.pdf,ficha-tecnica-captiva-black-edition-2025-v2.pdf,CHEVROLET,CAPTIVA,PREMIER BLACK EDITION D,2025,file:ano,4586,6,1,2025-09-06T03:07:28.588547
data/oem_specs/chevrolet/ficha-tecnica-groove-2025-tld.pdf,ficha-tecnica-groove-2025-tld.pdf,CHEVROLET,GROOVE,LT MANUAL D,2025,file:ano,5213,6,1,2025-09-06T03:07:29.879525
data/oem_specs/chevrolet/ficha-tecnica-groove-2026.pdf,ficha-tecnica-groove-2026.pdf,CHEVROLET,GROOVE,LT MANUAL D,2026,file:ano,7402,6,1,2025-09-06T03:07:31.315388
data/oem_specs/chevrolet/ficha-tecnica-suburban-2025.pdf,ficha-tecnica-suburban-2025.pdf,CHEVROLET,SUBURBAN,5.3L D 4X4 PIEL DVD QUEMACOCOS,2025,file:ano,5518,6,1,2025-09-06T03:07:32.557328
data/oem_specs/chevrolet/manual-de-propietario.pdf,manual-de-propietario.pdf,MANUAL,de,propietario,2025,text:MY,10358,6,0,2025-09-06T03:07:34.484160
data/oem_specs/gmc/2019-gmc-terrain-model-overview-catalogo.pdf,2019-gmc-terrain-model-overview-catalogo.pdf,GMC,TERRAIN,SLT B,2019,file:ano,4246,6,0,2025-09-06T03:07:39.401314
data/oem_specs/gmc/2019-gmc-terrain-model-overview-manual-propietario.pdf,2019-gmc-terrain-model-overview-manual-propietario.pdf,GMC,TERRAIN,DENALI D,2019,file:ano,8173,6,0,2025-09-06T03:07:40.982371
data/oem_specs/gmc/2025-yukon-manual-de-propietario.pdf,2025-yukon-manual-de-propietario.pdf,GMC,YUKON,DENALI A,2025,file:ano,7928,6,0,2025-09-06T03:07:42.673598
data/oem_specs/gmc/2026-gmc-terrain.pdf,2026-gmc-terrain.pdf,GMC,TERRAIN,DENALI E,2026,file:ano,7781,6,0,2025-09-06T03:07:44.344130
data/oem_specs/gmc/25_GMC_Hummer_EV_OM_es_MX_U_MX_18270642A_2024OCT10.pdf,25_GMC_Hummer_EV_OM_es_MX_U_MX_18270642A_2024OCT10.pdf,25,GMC,Hummer,2025,text:ano,6228,6,0,2025-09-06T03:07:46.376573
data/oem_specs/gmc/Catalogo-Hummer-25-Desktop.pdf,Catalogo-Hummer-25-Desktop.pdf,CATALOGO,Hummer,25,,,1728,6,0,2025-09-06T03:07:47.783085
data/oem_specs/gmc/Catalogo-Hummer-EV-2025-Accesorios.pdf,Catalogo-Hummer-EV-2025-Accesorios.pdf,CATALOGO,Hummer,EV,2025,file:ano,1947,6,0,2025-09-06T03:07:49.083149
data/oem_specs/gmc/GMC-Hummer-EV-Cata_logo-accesorios-update.pdf,GMC-Hummer-EV-Cata_logo-accesorios-update.pdf,GMC,Hummer,EV,,,1947,6,0,2025-09-06T03:07:50.077206
data/oem_specs/gmc/GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_EN_1GT-22101.pdf,GMC_HUMMER_20EV_AWD_SUV_2024_5d_Electric_EN_1GT-22101.pdf,GMC,HUMMER,20EV,2024,file:ano,6491,6,0,2025-09-06T03:07:51.559469
