Make,Model,Version_sales,match_make,match_model,match_version,match_ano,msrp,precio_transaccion,hp,equipment_score,units
LAND ROVER,RANGE ROVER VELAR,3.0 MHEV P400 R-DYNAMIC SE AUTO AWD,LAND ROVER,RANGE ROVER VELAR,R-DYNAMIC SE MHEV 400PS,2022.0,1685900.0,1685900.0,400.0,5.0,6304.0
LAND ROVER,RANGE ROVER VELAR,3.0 MHEV P400 DYNAMIC SE AUTO AWD,LAND ROVER,RANGE ROVER VELAR,R-DYNAMIC SE MHEV 400PS,2023.0,1792900.0,1722400.0,400.0,5.0,6399.0
LAND ROVER,RANGE ROVER VELAR,(O)3.0 MHEV P400 R-DYNAMIC S AUTO AWD,LAND ROVER,RANGE ROVER VELAR,DYNAMIC SE MHEV 400PS,2024.0,1845900.0,1845900.0,400.0,6.0,382.0
LINCOLN,CORSAIR,(O)2.0 RESERVE MONOCROMATICA AUTO,LINCOLN,CORSAIR,FWD 2.0L TURBOCARGADO L 4,2024.0,929900.0,829900.0,250.0,3.0,372.0
LINCOLN,CORSAIR,2.0 PREMIER AUTO,LINCOLN,CORSAIR,PREMIER FWD 2.0L,2025.0,1022000.0,922000.0,250.0,6.0,48.0
VOLKSWAGEN,TAOS,(O)1.4 TSI TRENDLINE AUTO,VOLKSWAGEN,TAOS,TRENDLINE,2022.0,484990.0,484990.0,150.0,3.0,816.0
VOLKSWAGEN,TAOS,(O)1.4 TSI TRENDLINE AUTO,VOLKSWAGEN,TAOS,TRENDLINE,2024.0,520070.0,,,0.0,887.0
VOLKSWAGEN,TAOS,(O)1.4 TSI COMFORTLINE AUTO,VOLKSWAGEN,TAOS,COMFORTLINE PLUS,2024.0,570070.0,457304.0,150.0,5.0,4011.0
JAC,J7,1.5 ADVANCED MT,JAC,J7,ADVANCED MT,2022.0,387000.0,387000.0,148.0,0.0,20.0
JAC,J7,(O)1.5 ADVANCED MT,JAC,J7,ADVANCED MT,2023.0,379000.0,364000.0,148.0,0.0,106.0
JAC,J7,1.5 ADVANCED MT,JAC,J7,ADVANCED MT,2024.0,308000.0,308000.0,148.0,0.0,1.0
JAC,J7,1.5 QUANTUM CVT,JAC,J7,QUANTUM CVT,2022.0,423000.0,423000.0,148.0,2.0,35.0
JAC,J7,(O)1.5 QUANTUM CVT,JAC,J7,QUANTUM CVT,2023.0,423000.0,408000.0,148.0,2.0,68.0
JAC,J7,1.5 QUANTUM CVT,JAC,J7,QUANTUM CVT,2024.0,332000.0,332000.0,148.0,2.0,94.0
JAC,J7,(O)1.5 LIMITED CVT,JAC,J7,LIMITED CVT,2022.0,459000.0,459000.0,148.0,4.0,63.0
JAC,J7,1.5 LIMITED CVT,JAC,J7,LIMITED CVT,2023.0,457000.0,442000.0,148.0,4.0,1.0
JAC,J7,(O)1.5 LIMITED CVT,JAC,J7,LIMITED CVT,2024.0,385000.0,385000.0,148.0,4.0,113.0
VOLKSWAGEN,TERAMONT,3.6 HIGHLINE AUTO 4WD,VOLKSWAGEN,TERAMONT,HIGHLINE LONG DRIVE,2022.0,1069990.0,1069990.0,280.0,4.0,8.0
VOLKSWAGEN,TERAMONT,(O)3.6 HIGHLINE AUTO 4WD,VOLKSWAGEN,TERAMONT,HIGHLINE LONG DRIVE,2023.0,1116990.0,1116990.0,280.0,4.0,56.0
BMW,X5,4.4 M COMPETITION AUTO 4WD,BMW,X5,M COMPETITION,2020.0,2300000.0,2300000.0,625.0,4.0,226.0
BMW,XM,4.4 PHEV AUTO,BMW,M,X5 M COMPETITION,2022.0,2540000.0,2540000.0,625.0,4.0,3.0
BMW,XM,4.4 PHEV AUTO,BMW,M,X5 M COMPETITION,2024.0,2865000.0,2865000.0,625.0,1.0,25.0
BMW,X4,3.0 M AUTO 4WD,BMW,X4,M COMPETITION,2020.0,1849900.0,1749900.0,510.0,3.0,67.0
VOLVO,S60,2.0 T8 PHEV POLESTAR ENGINEERED AUTO AWD,VOLVO,S60,POLESTAR ENGINEERED T8 AWD PHEV,2023.0,1329900.0,1329900.0,462.0,4.0,523.0
VOLVO,S60,2.0 B4 MHEV PLUS AUTO,VOLVO,S60,R-DESING T8 E AWD,2022.0,1159900.0,1159900.0,462.0,3.0,75.0
VOLVO,S60,2.0 T8 PHEV ULTIMATE DARK RCHG AUTO AWD,VOLVO,S60,RECHARGE ULTIMATE DARK T8 PHEV,2023.0,1199900.0,1199900.0,462.0,4.0,86.0
VOLKSWAGEN,ATLAS CROSS SPORT,3.6 FSI R-LINE AUTO 4WD,VOLKSWAGEN,CROSS SPORT,R-LINE LONG DRIVE,2022.0,1064009.0,1064009.0,280.0,5.0,7.0
VOLKSWAGEN,ATLAS CROSS SPORT,(O)3.6 FSI R-LINE AUTO 4WD,VOLKSWAGEN,CROSS SPORT,R-LINE LONG DRIVE,2023.0,1116990.0,1116990.0,280.0,5.0,96.0
BMW,X3,3.0 M AUTO 4WD,BMW,X3,M COMPETITION,2020.0,1799900.0,1699900.0,510.0,3.0,234.0
VOLKSWAGEN,TRANSPORTER,2.0 CHASIS CABINA 6.1 /AA,VOLKSWAGEN,TRANSPORTER,6.1 CHASIS CABINA MT AA,2024.0,730200.0,636700.0,110.0,1.0,69.0
NISSAN,ALTIMA,(O)2.0 SR CVT,NISSAN,ALTIMA,SR 2.0L 22,2022.0,714900.0,689900.0,248.0,3.0,420.0
NISSAN,ALTIMA,(O)2.0 SR TURBO CVT,NISSAN,ALTIMA,SR TURBO 2.0L 23,2023.0,756900.0,656900.0,248.0,3.0,525.0
PORSCHE,PANAMERA,2.9 4S E-HYBRID DCT,PORSCHE,PANAMERA,4S E-HYBRID PDK,2022.0,2628000.0,2628000.0,552.0,2.0,305.0
PORSCHE,PANAMERA,2.9 4S E-HYBRID DCT,PORSCHE,PANAMERA,4S E-HYBRID PDK,2023.0,2648000.0,2648000.0,552.0,3.0,82.0
PORSCHE,PANAMERA,2.9 4S E-HYBRID DCT,PORSCHE,PANAMERA,4S E-HYBRID PDK,2025.0,2768000.0,2768000.0,552.0,4.0,11.0
VOLKSWAGEN,TAOS,1.4 TSI HIGHLINE AUTO,VOLKSWAGEN,TAOS,HIGHLINE,2022.0,574990.0,574990.0,150.0,3.0,68.0
VOLKSWAGEN,TAOS,(O)1.4 TSI HIGHLINE AUTO,VOLKSWAGEN,TAOS,HIGHLINE,2023.0,605990.0,592070.0,150.0,3.0,58.0
VOLKSWAGEN,TAOS,(O)1.4 TSI HIGHLINE AUTO,VOLKSWAGEN,TAOS,HIGHLINE,2024.0,615070.0,486870.0,150.0,5.0,3546.0
BMW,SERIES 3,3.0 M3 COMPETITION AUTO,BMW,M,M3 COMPETITION SEDAN AUTOMATICO,2022.0,1990000.0,1990000.0,510.0,5.0,435.0
BMW,SERIES 3,(O)3.0 M3 COMPETITION AUTO,BMW,M,M3 COMPETITION SEDAN AUTOMATICO,2023.0,2070000.0,2070000.0,510.0,6.0,260.0
BMW,SERIES 3,(O)3.0 M3 COMPETITION AUTO,BMW,M,M3 COMPETITION SEDAN AUTOMATICO,2024.0,2135000.0,2135000.0,510.0,6.0,79.0
NISSAN,KICKS,1.6 ADVANCE LTS,NISSAN,KICKS,ADVANCE 1.6 LTS MT 22,2022.0,396900.0,380988.0,118.0,2.0,236.0
NISSAN,KICKS PLAY,1.6 ADVANCE,NISSAN,KICKS PLAY,ADVANCE 1.6 LTS MT 24,2024.0,434900.0,379900.0,118.0,3.0,2313.0
NISSAN,KICKS,1.6 PLATINUM LTS XTRONIC,NISSAN,KICKS,PLATINUM 1.6 LTS CVT 22,2022.0,494900.0,478988.0,118.0,3.0,176.0
NISSAN,KICKS,(O)1.6 PLATINUM LTS XTRONIC,NISSAN,KICKS,PLATINUM 1.6 LTS CVT 23,2023.0,504900.0,474300.0,118.0,6.0,88.0
NISSAN,KICKS,(O)1.2 HEV PLATINUM E-POWER,NISSAN,KICKS,PLATINUM 1.6 LTS CVT 24,2024.0,511900.0,456900.0,118.0,6.0,301.0
NISSAN,KICKS,2.0 PLATINUM CVT,NISSAN,KICKS,PLATINUM CVT 25,2025.0,632900.0,616000.0,142.0,6.0,1938.0
NISSAN,KICKS,1.6 PLATINUM BI-TONO LTS XTRONIC,NISSAN,KICKS,PLATINUM BI-TONO 1.6 LTS CVT 22,2022.0,499900.0,483988.0,118.0,3.0,519.0
NISSAN,KICKS,(O)1.6 PLATINUM BI-TONO LTS XTRONIC,NISSAN,KICKS,PLATINUM BI-TONO 1.6 LTS CVT 23,2023.0,511900.0,481300.0,118.0,6.0,640.0
NISSAN,KICKS,(O)1.6 PLATINUM BI-TONO LTS XTRONIC,NISSAN,KICKS,PLATINUM BI-TONO 1.6 LTS CVT 24,2024.0,518900.0,463900.0,118.0,6.0,268.0
NISSAN,MARCH,1.6 EXCLUSIVE AUTO,NISSAN,MARCH,EXCLUSIVE TA 22,2022.0,314900.0,302810.0,106.0,2.0,716.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE AUTO,NISSAN,MARCH,EXCLUSIVE TA 23,2023.0,326900.0,307900.0,106.0,2.0,1747.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE AUTO,NISSAN,MARCH,EXCLUSIVE TA 24,2024.0,347900.0,317900.0,106.0,3.0,1391.0
NISSAN,MARCH,1.6 EXCLUSIVE,NISSAN,MARCH,EXCLUSIVE TM 22,2022.0,297900.0,285810.0,106.0,2.0,322.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE,NISSAN,MARCH,EXCLUSIVE TM 23,2023.0,311900.0,297900.0,106.0,2.0,242.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE,NISSAN,MARCH,EXCLUSIVE TM 24,2024.0,332900.0,302900.0,106.0,3.0,713.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE BI-TONO,NISSAN,MARCH,EXCLUSIVE TM BI-TONO 22,2022.0,302900.0,290810.0,106.0,2.0,569.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE BI-TONO,NISSAN,MARCH,EXCLUSIVE TM BI-TONO 23,2023.0,318900.0,304900.0,106.0,2.0,1230.0
NISSAN,MARCH,(O)1.6 EXCLUSIVE BI-TONO,NISSAN,MARCH,EXCLUSIVE TM BI-TONO 24,2024.0,339900.0,309900.0,106.0,3.0,601.0
BUICK,ENVISION,2.0 AVENIR G AUTO,BUICK,ENVISION,AVENIR U,2023.0,1006400.0,926400.0,237.0,3.0,169.0
BUICK,ENVISION,2.0 AVENIR U AUTO,BUICK,ENVISION,AVENIR G,2024.0,1016700.0,1016700.0,237.0,4.0,261.0
BUICK,ENVISION,(O)2.0 ESSENCE L AUTO,BUICK,ENVISION,ESSENCE L,2023.0,925900.0,845900.0,237.0,3.0,132.0
BUICK,ENVISION,2.0 SPORT TOURING F AUTO,BUICK,ENVISION,SPORT TOURING F,2024.0,942700.0,942700.0,237.0,4.0,48.0
CADILLAC,ESCALADE,6.2 PREMIUM LUXURY B AUTO 4WD SUV,CADILLAC,ESCALADE,PREMIUM LUXURY B SUV,2022.0,2429400.0,2429400.0,425.0,5.0,57.0
CADILLAC,ESCALADE,(O)6.2 PREMIUM LUXURY B AUTO 4WD SUV,CADILLAC,ESCALADE,PREMIUM LUXURY B SUV,2023.0,2576900.0,2426900.0,425.0,3.0,359.0
CADILLAC,ESCALADE ESV,(O)6.2 PREMIUM LUXURY B AUTO 4WD ESV,CADILLAC,ESCALADE ESV,PREMIUM LUXURY B ESV,2024.0,2781900.0,2481900.0,425.0,3.0,556.0
AUDI,A8,4.0 MHEV TFSI S8 AUTO 4WD,AUDI,A8,MHEV L 60 TFSI PREMIUM TIP. QUATTRO AT,2023.0,3269900.0,3204502.0,460.0,4.0,427.0
AUDI,A8,4.0 MHEV 60 TFSI PREMIUM AUTO 4WD LWB,AUDI,A8,MHEV L 60 TFSI PREMIUM TIP. QUATTRO AT,2024.0,3378900.0,3095072.0,460.0,4.0,1.0
JAC,2,1.5 SMART,JAC,SEI2,SMART MT,2022.0,309000.0,309000.0,111.0,4.0,172.0
JAC,SEI2,(O)1.5 SMART,JAC,SEI2,SMART MT,2023.0,299000.0,299000.0,111.0,4.0,135.0
